,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
0,2009-01-01 00:10:00,3.7592565481449793,-11.769767347739037,2.3868685421467255,3.7592565481449793,3.7592565481449793,-8.379681893515555,-8.379681893515555,-8.379681893515555,-1.634113821609875,-1.634113821609875,-1.634113821609875,-0.1058479092927497,-0.1058479092927497,-0.1058479092927497,-6.639720162612932,-6.639720162612932,-6.639720162612932,0.0,0.0,0.0,-4.620425345370576,-8.02
144,2009-01-02 00:10:00,3.844611940440698,-11.570891356148095,2.815165060191653,3.844611940440698,3.844611940440698,-8.215630108615693,-8.215630108615693,-8.215630108615693,-1.6341138216155104,-1.6341138216155104,-1.6341138216155104,0.13931835402646126,0.13931835402646126,0.13931835402646126,-6.720834641026644,-6.720834641026644,-6.720834641026644,0.0,0.0,0.0,-4.371018168174995,-4.6
288,2009-01-03 00:10:00,3.9299673327364175,-11.397107877438305,2.170159859684925,3.9299673327364175,3.9299673327364175,-8.428114888195015,-8.428114888195015,-8.428114888195015,-1.6341138216273337,-1.6341138216273337,-1.6341138216273337,0.01732399229423233,0.01732399229423233,0.01732399229423233,-6.811325058861913,-6.811325058861913,-6.811325058861913,0.0,0.0,0.0,-4.498147555458598,-4.89
432,2009-01-04 00:10:00,4.015322725032136,-11.268834042266242,2.821093769189071,4.015322725032136,4.015322725032136,-8.506092401051603,-8.506092401051603,-8.506092401051603,-1.6341138216329698,-1.6341138216329698,-1.6341138216329698,0.03824898551518013,0.03824898551518013,0.03824898551518013,-6.910227564933814,-6.910227564933814,-6.910227564933814,0.0,0.0,0.0,-4.490769676019467,-1.83
576,2009-01-05 00:10:00,4.100678117327855,-11.237605695407199,2.7213263810821995,4.100678117327855,4.100678117327855,-8.57727558586681,-8.57727558586681,-8.57727558586681,-1.6341138216158366,-1.6341138216158366,-1.6341138216158366,0.07337025696726165,0.07337025696726165,0.07337025696726165,-7.016532021218234,-7.016532021218234,-7.016532021218234,0.0,0.0,0.0,-4.476597468538954,-1.5
720,2009-01-06 00:10:00,4.186033509623575,-11.741945217240703,2.013298112466584,4.186033509623575,4.186033509623575,-8.798400881130178,-8.798400881130178,-8.798400881130178,-1.6341138216214726,-1.6341138216214726,-1.6341138216214726,-0.035086044247054214,-0.035086044247054214,-0.035086044247054214,-7.129201015261652,-7.129201015261652,-7.129201015261652,0.0,0.0,0.0,-4.612367371506603,-12.78
864,2009-01-07 00:10:00,4.271388901919293,-11.73940491585181,2.7176807668854406,4.271388901919293,4.271388901919293,-9.008628481542107,-9.008628481542107,-9.008628481542107,-1.634113821627108,-1.634113821627108,-1.634113821627108,-0.1273276352632913,-0.1273276352632913,-0.1273276352632913,-7.2471870246517085,-7.2471870246517085,-7.2471870246517085,0.0,0.0,0.0,-4.737239579622814,-21.31
1008,2009-01-08 00:10:00,4.356744294215012,-12.130591824708361,1.4698886223970866,4.356744294215012,4.356744294215012,-9.10940919539316,-9.10940919539316,-9.10940919539316,-1.6341138216099755,-1.6341138216099755,-1.6341138216099755,-0.10584790929262286,-0.10584790929262286,-0.10584790929262286,-7.3694474644905625,-7.3694474644905625,-7.3694474644905625,0.0,0.0,0.0,-4.752664901178148,-10.6
1152,2009-01-09 00:10:00,4.442099686510732,-11.791285337871727,1.9742868778953861,4.442099686510732,4.442099686510732,-8.989752904491397,-8.989752904491397,-8.989752904491397,-1.6341138216156108,-1.6341138216156108,-1.6341138216156108,0.13931835402655268,0.13931835402655268,0.13931835402655268,-7.494957436902338,-7.494957436902338,-7.494957436902338,0.0,0.0,0.0,-4.547653217980665,-14.05
1296,2009-01-10 00:10:00,4.527455078806451,-12.331590625463233,2.664950243871701,4.527455078806451,4.527455078806451,-9.239509919504798,-9.239509919504798,-9.239509919504798,-1.6341138216274345,-1.6341138216274345,-1.6341138216274345,0.017323992294208675,0.017323992294208675,0.017323992294208675,-7.622720090171571,-7.622720090171571,-7.622720090171571,0.0,0.0,0.0,-4.712054840698347,-13.83
